num	mean	min	q25	q50	q75	max
103	37	2	35	39	41	41
104	37	31	35	38	41	41
105	36	2	35	39	40	40
106	36	25	34	36	39	41
107	38	2	36	40	41	41
108	38	33	36	39	41	41
109	37	2	36	39	40	41
110	33	5	31	36	39	40
111	34	2	32	35	37	40
112	37	23	35	39	41	41
113	33	2	30	34	39	41
114	38	32	36	40	41	41
115	24	2	16	31	35	40
116	23	2	2	31	36	40
117	35	2	34	37	39	40
118	30	7	26	31	36	40
119	33	2	28	39	40	41
120	33	7	31	35	37	41
121	35	25	34	37	38	40
122	37	2	35	39	41	41
123	34	31	35	35	35	39
124	33	2	32	34	37	40
125	38	34	37	40	41	41
126	31	2	33	36	40	41
127	37	33	35	37	41	41
128	34	18	31	35	39	40
129	32	2	28	35	38	41
130	37	24	36	38	40	41
131	37	2	35	39	41	41
132	37	2	35	40	41	41
133	35	23	33	35	40	41
134	37	2	36	39	40	41
135	29	8	26	32	35	38
136	37	2	35	37	41	41
137	38	31	36	39	41	41
138	27	2	24	31	35	40
139	38	32	37	40	41	41
140	35	2	34	37	39	41
141	38	30	36	39	41	41
142	37	2	36	39	41	41
143	37	30	36	39	40	41
144	35	2	34	37	40	41
145	38	31	36	39	40	41
146	37	2	37	39	40	41
147	34	23	32	34	38	41
148	33	2	31	35	39	41
149	36	7	34	38	40	41
150	27	2	24	30	34	40
151	38	28	37	39	40	41
152	33	2	32	35	38	41
153	34	17	32	34	38	40
154	32	2	30	33	36	40
155	34	2	33	35	39	41
156	37	2	35	39	41	41
157	36	18	35	38	39	41
158	36	2	35	38	40	41
159	38	31	37	39	40	41
160	37	2	36	39	41	41
161	37	27	35	39	40	41
162	36	2	34	37	40	41
163	38	34	37	39	41	41
164	38	2	37	40	41	41
165	35	23	33	35	39	41
166	37	2	35	38	40	41
167	38	31	37	40	41	41
168	29	2	26	30	35	40
169	36	20	35	35	39	41
170	37	5	35	39	41	41
171	34	2	33	35	37	41
172	35	31	35	35	36	41
173	27	7	24	30	34	38
174	35	2	33	34	40	40
175	36	24	34	37	39	41
176	37	2	36	39	40	41
177	35	26	33	35	39	40
178	34	2	33	36	39	40
179	38	29	36	39	41	41
180	29	2	27	32	34	40
181	34	12	33	35	39	41
182	36	30	35	35	39	41
183	32	2	31	33	36	40
184	37	31	35	38	39	40
185	34	2	33	35	39	41
186	38	31	35	39	41	41
187	37	2	35	39	41	41
188	33	8	32	34	37	40
189	37	2	36	40	41	41
